epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5608,2.80462,4.74546,3.1715,0.42647,0.02739,0.01846,0.00913,2.05699,3.47678,2.31052,0.00333288,0.00333288,0.00333288
2,10835.2,1.81939,3.42156,1.98333,0.26365,0.11339,0.07933,0.04539,1.71745,2.78494,1.88205,0.00660022,0.00660022,0.00660022
3,15901.9,1.66029,2.9534,1.77273,0.3251,0.17094,0.13342,0.08054,1.58088,2.44501,1.70955,0.00980156,0.00980156,0.00980156
4,20922,1.57407,2.68436,1.65772,0.34377,0.21063,0.17888,0.11137,1.50032,2.22539,1.60884,0.009703,0.009703,0.009703
5,26122.5,1.50521,2.48499,1.57721,0.35381,0.23213,0.21117,0.13423,1.4508,2.09204,1.55275,0.009604,0.009604,0.009604
6,31154.6,1.46448,2.36339,1.52911,0.37225,0.24876,0.23155,0.14966,1.42116,2.01778,1.51814,0.009505,0.009505,0.009505
7,36170.5,1.43796,2.28383,1.49809,0.38963,0.25721,0.24412,0.15927,1.40283,1.97548,1.49604,0.009406,0.009406,0.009406
8,41206.7,1.41658,2.21921,1.47227,0.39875,0.26419,0.25351,0.16619,1.38923,1.94769,1.48,0.009307,0.009307,0.009307
9,46192.2,1.39964,2.16486,1.45047,0.40969,0.27049,0.26144,0.17194,1.37823,1.92849,1.46709,0.009208,0.009208,0.009208
10,51162.6,1.38351,2.12182,1.43526,0.41781,0.27601,0.26839,0.17688,1.36909,1.914,1.45643,0.009109,0.009109,0.009109
11,56084.8,1.37585,2.08638,1.42153,0.42533,0.27797,0.27464,0.18188,1.36092,1.89982,1.44588,0.00901,0.00901,0.00901
12,60977.8,1.36549,2.0586,1.41089,0.43337,0.28235,0.2818,0.18697,1.3518,1.88541,1.43551,0.008911,0.008911,0.008911
13,65912.7,1.35636,2.03218,1.39985,0.44317,0.28562,0.28862,0.19231,1.34328,1.86957,1.42526,0.008812,0.008812,0.008812
14,70839.5,1.34677,2.01183,1.38977,0.45159,0.28896,0.29542,0.19761,1.33541,1.85291,1.41499,0.008713,0.008713,0.008713
15,75836.4,1.34269,1.99086,1.38163,0.46321,0.29301,0.30233,0.20285,1.32744,1.83479,1.40471,0.008614,0.008614,0.008614
16,80842.2,1.33535,1.97215,1.37379,0.46467,0.2987,0.30944,0.2083,1.31974,1.81403,1.39463,0.008515,0.008515,0.008515
17,85912.3,1.33085,1.95776,1.36694,0.46959,0.3036,0.31672,0.21372,1.31183,1.79305,1.3849,0.008416,0.008416,0.008416
18,90888.2,1.32462,1.94115,1.36109,0.49273,0.30932,0.32341,0.2186,1.30511,1.77305,1.37621,0.008317,0.008317,0.008317
19,100231,1.32126,1.92663,1.35561,0.49856,0.31678,0.33022,0.2239,1.29792,1.75146,1.36671,0.008218,0.008218,0.008218
20,105954,1.31952,1.91208,1.35033,0.49769,0.32352,0.3363,0.22844,1.29092,1.73069,1.35792,0.008119,0.008119,0.008119
21,110854,1.31336,1.90346,1.34732,0.49395,0.33021,0.34244,0.23307,1.28445,1.71005,1.34963,0.00802,0.00802,0.00802
22,115727,1.30971,1.89356,1.34155,0.50844,0.33189,0.34838,0.23755,1.27885,1.6907,1.34217,0.007921,0.007921,0.007921
23,120690,1.30586,1.88064,1.33783,0.50954,0.33689,0.35399,0.24158,1.27325,1.67148,1.33466,0.007822,0.007822,0.007822
24,125560,1.30181,1.87013,1.33287,0.51446,0.34137,0.35922,0.2459,1.2675,1.65236,1.3271,0.007723,0.007723,0.007723
25,130577,1.29947,1.86014,1.33052,0.5232,0.34563,0.3647,0.25011,1.26157,1.63404,1.31988,0.007624,0.007624,0.007624
